1	physics	 I often hear about subatomic particles having a property called "spin" but also that it doesn't actually relate to spinning about an axis like you would think. Which particles have spin? What does spin mean if not an actual spinning motion? 
2	physics	 How would you explain string theory to non physicists such as myself? I'm specially interested on how plausible is it and what is needed to successfully prove it? 
3	physics	 This is a question that has been posted at many different forums, I thought maybe someone here would have a better or more conceptual answer than I have seen before: Why do physicists care about representations of Lie groups? For myself, when I think about a representation that means there is some sort of group acting on a vector space, what is the vector space that this Lie group is acting on? Or is it that certain things have to be invariant under a group action? maybe this is a dumb question, but i thought it might be a good start... To clarify, I am specifically thinking of the symmetry groups that people think about in relation to the standard model. I do not care why it might be a certain group, but more how we see the group acting, what is it acting on? etc. 
4	physics	 Imagine going to the rest frame of a massive particle. In this frame, there is rotational symmetry, which means that the Lie algebra of rotations acts on the wave function. So the wave function is a vector in a representation of Lie(SO(3)) = Lie(SU(2)). "Spin" is the label of precisely which representation this is. Note that while SO(3) and SU(2) share a Lie algebra, they are different as groups, and it is a fact of life ("the connection between spin and statistics") that some particles -- fermions, with half-integral spin -- transform under representations of SU(2) while others -- bosons, with integral spin -- transform under SO(3). 
5	physics	 Spin is a technical term specifically referring to intrinsic angular momentum of particles. It means a very specific thing in quantum/particle physics. (Physicists often borrow loosely related everyday words and give them a very precise physical/mathematical definition.) Since truly fundamental particles (e.g. electrons) are point entities, i.e. have no true size in space, it does not make sense to consider them 'spinning' in the common sense, yet they still possess their own angular momenta. Note however, that like many quantum states (fundamental variables of systems in quantum mechanics,) spin is quantised ; i.e. it can only take one of a set of discrete values. Specifically, the allowed values of the spin quantum number are non-negative multiples of 1/2. The actual spin momentum (denoted ) is a multiple of Planck's constant, and is given by $S = \sqrt{s (s + 1)}$. When it comes to composite particles (e.g. nuclei, atoms), spin is actually fairly easy to deal with. Like normal (orbital) angular momentum, it adds up linearly. Hence a proton, made of three constituent quarks, has overall spin 1/2. If you're curious as to how this (initially rather strange) concept of spin was discovered, I suggest reading about the Stern-Gerlach experiment of the 1920s. It was later put into the theoretical framework of quantum mechanics by Schrodinger and Pauli. 
7	physics	 What are the main problems that we need to solve to prove Laplace's determinism correct and overcome the Uncertainty principle? 
8	physics	 The vector space that is being acted on typically is a Hilbert space of states in quantum mechanics; very roughly, there's a basis of this vector space which is in one-to-one correspondence with the set of possibilities for a physical system. The simplest example to try to get your head around is that of the spin 1/2 particle (2 dim representation of SU(2)), which is explained in any introductory quantum mechanics book. 
9	physics	 Hamilton's principle states that a dynamic system always follows a path such that its action integral is stationary (that is, maximum or minimum). Why should the action integral be stationary? On what basis did Hamilton state this principle? 
10	physics	 Some of the leaders in the field are Brian Greene and Michio Kaku. Both have made some Sci channel or Nova series that seemed appropriate for non-physicists. I haven't been following the latest in physics for a while, but I thought that M-Theory had supplanted string theory some time ago. If so, then Kaku would be the guy. Greene's series and book "The Elegant Universe" also goes into some Quantum mechanics, which might help as well. These are really the only two players I know of that simplify string theory. Does anyone else have some ideas? 
13	physics	 I've been using the term "sound" all my life, but I really have no clue as to what sound exactly is or how it is created. What is sound? How is it produced? Can it be measured? 
14	physics	 As you can see from the image below, you want the variation of the action integral to be a minimum, therefore $\displaystyle \frac{\delta S}{\delta q}$ must be $0$. Otherwise, you are not taking the true path between $q_{t_{1}}$ and $q_{t_{2}}$ but a slightly longer path. However, even following $\delta S=0$, as you know, you might end up with another extremum. Following the link from j.c., you can find On a General Method on Dynamics , which probably answers your question regarding Hamilton's reasoning. I haven't read it but almost surely it is worthwhile. 
15	physics	 I know that there's big controversy between two groups of physicists: those who support string theory (most of them, I think) and those who oppose it. One of the arguments of the second group is that there's no way to disprove the correctness of the string theory. So my question is if there's any defined experiment that would disprove string theory? 
16	physics	 What it sound? Sound is nothing but a mechanical wave. The human ear can detect mechanical waves from 20 Hz to 20,000 Hz. How is it produced? It is produced when energy transformation occurs. For eg. beating a drum - mechanical energy. Can it be measured? Yes, it can be measured by the frequency of the wave. 
17	physics	 Why the sky is blue during the day, red during sunrise/set and black during the night? 
18	physics	 Experiments such as the double-slit, EPR and Bell inequality experiments show that quantum mechanics is not just a computational tool, but a genuine property of nature. In this sense, Heisenberg's Uncertainty Principle cannot be overcome and there will be no reversal to determinism. 
19	physics	 Physicists often refer to the energy of collisions between different particles. My question is: how is that energy calculated? Is that kinetic energy? Also, related to this question, I know that the aim is to have higher and higher energy collisions (e.g to test for Higgs Boson). My understanding is that to have higher energy you can either accelerate them more, or use particles with higher mass. Is this correct? 
20	physics	 In general usage, "sound" refers to our perception of the vibrations of particles (atoms, molecules) in some medium, typically air or water, though sound waves can travel through any medium. Vibrations are produced whenever objects cause the particles in the medium to oscillate, e.g. clapping your hands together, beating a drum, or yelling. Sound can be measured the way it is heard - just as air molecules begin to vibrate in the presence of a vibrating object - the air molecules can cause other things to vibrate (such as our eardrums, or a part of a microphone) and we can quantify the level of sound by measuring the motion of the detector in any number of ways. At a deeper level, sound waves are the "Goldstone modes" corresponding to broken translational symmetry of the surrounding medium. Let me try to bring this a little more down to earth. Think about a parcel of air, large enough to contain a lot of air molecules, but not so large that there are sizable air currents swirling within. We can think of this in an ideal situation as being a fluid of uniform density. This fluid has translational symmetry - if I translate it a little in any direction, it looks more or less the same "in the bulk". Translational symmetry is a continuous symmetry, so I can squeeze the air in a spatially-varying way. It turns out that if I do this in a wavelike pattern with a long wavelength, this is an excitation that costs very little energy, and hence will be important to the physics. These waves are precisely sound waves. This probably doesn't make much sense as I've written it, so I may try to edit this a bit later on if anyone is actually interested in this point of view. 
21	physics	 Where is the Monte Carlo method used in physics? 
22	physics	 The keywords here are Rayleigh scattering . See also diffuse sky radiation . But much more simply, it has to do with the way that sunlight interacts with air molecules. Blue light is scattered more than red light, so during the day when we look at parts of the sky that are away from the sun, we see more blue than red. During sunset or sunrise, most of the light from the sun comes towards the earth at a sharp angle, so now the blue light is mostly scattered away, and we see mostly red light. 
23	physics	 Sound is air molecules hitting each other, bouncing back, then again hitting each other, and so on. This back-and-forth movement is called vibration. Sound is produced when something like a drum vibrates, and starts the aforementioned bouncing of air molecules. Sound is picked up inside your ears by eardrums, which are like reverse-drums, in that they vibrate with the air molecules. This vibration is then converted to biochemical signals which travel to your brain. There is a Mickey Mouse visualization here on Youtube: 
